Institution,City,State,Avg Jan Temp,Avg April Temp,Avg July Temp,Avg Oct Temp,Days w/Precipitation,Sunny Days
Quinnipiac University,Hamden,CT,37°/20°,60°/39°,84°/63°,64°/43°,108,205
University of Akron Main Campus,Akron,OH,34°/20°,60°/40°,83°/63°,61°/44°,142,164
Sacred Heart University,Fairfield,CT,38°/21°,60°/40°,83°/65°,64°/44°,113,175
Fairfield University,Fairfield,CT,38°/22°,60°/40°,83°/65°,64°/46°,120,175
University of Puget Sound,Tacoma,WA,47°/37°,60°/42°,77°/54°,61°/45°,152,141
Monmouth University,West Long Branch,NJ,40°/24°,60°/42°,84°/67°,66°/47°,115,209
Stockton University,Galloway,NJ,41°/26°,60°/43°,84°/68°,66°/48°,112,205
St John's University-New York,Queens,NY,39°/26°,60°/44°,84°/69°,65°/50°,120,200
CUNY Brooklyn College,Brooklyn,NY,39°/27°,60°/44°,84°/69°,65°/50°,119,227
Bard College,Annandale-On-Hudson,NY,34°/13°,61°/35°,84°/59°,63°/38°,121,182
Kenyon College,Gambier,OH,34°/16°,61°/36°,83°/60°,63°/38°,133,171
SUNY at Purchase College,Purchase,NY,38°/21°,61°/39°,84°/63°,64°/43°,119,200
Appalachian State University,Boone,NC,40°/20°,61°/39°,78°/59°,62°/41°,138,204
University of Utah,Salt Lake City,UT,38°/22°,61°/39°,90°/65°,64°/42°,92,226
Linfield College-McMinnville Campus,McMinnville,OR,48°/35°,61°/40°,82°/53°,64°/42°,143,154
Willamette University,Salem,OR,47°/35°,61°/40°,81°/53°,64°/43°,151,157
Ball State University,Muncie,IN,34°/18°,61°/40°,84°/64°,64°/42°,127,185
Wabash College,Crawfordsville,IN,32°/17°,61°/40°,83°/63°,64°/42°,119,187
Montclair State University,Montclair,NJ,38°/20°,61°/40°,85°/64°,64°/42°,121,205
University of Portland,Portland,OR,48°/37°,61°/43°,79°/56°,63°/45°,158,142
United States Merchant Marine Academy,Kings Point,NY,39°/26°,61°/44°,85°/68°,65°/50°,116,200
CUNY Lehman College,Bronx,NY,39°/27°,61°/44°,85°/69°,65°/50°,122,200
Fordham University,Bronx,NY,39°/27°,61°/44°,85°/69°,65°/50°,122,200
New York University,New York,NY,39°/26°,61°/44°,84°/69°,64°/50°,119,224
Barnard College,New York,NY,39°/27°,61°/44°,85°/69°,65°/50°,122,224
CUNY Hunter College,New York,NY,39°/27°,61°/44°,85°/69°,65°/50°,116,232
Yeshiva University,New York,NY,39°/27°,61°/44°,85°/69°,65°/50°,116,23
CUNY City College,New York,NY,38°/27°,61°/45°,85°/69°,64°/50°,123,234
Oregon State University,Corvallis,OR,47°/34°,61°40°,82°/52°,65 42°,159,162
University of Colorado Boulder,Boulder,CO,47°/19°,62°/34°,88°/57°,66°/36°,88,245
University of South Dakota,Vermillion,SD,30°/9°,62°/36°,86°/63°,64°/38°,80,208
Juniata College,Huntingdon,PA,36°/19°,62°/37°,84°/61°,64°/40°,127,193
Washington & Jefferson College,Washington,PA,36°/19°,62°/38°,82°/60°,63°/40°,148,162
Bucknell University,Lewisburg,PA,36°/19°,62°/38°,84°/61°,64°/40°,128,176
Susquehanna University,Selinsgrove,PA,36° /19°,62°/38°,85°/62°,64°/40°,128,178
Cornell College,Mount Vernon,IA,29°/11°,62°/38°,84°62°,63°/40°,108,193
Iowa State University,Ames,IA,29°/11°,62°/38°,84°/63°,63°/39°,109,202
Lehigh University,Bethlehem,PA,37°/19°,62°/38°,84°/62°,64°/40°,120,202
Moravian College,Bethlehem,PA,37°/19°,62°/38°,62°/38°,64°/40°,120,202
Lafayette College,Easton,PA,37°/19°,62°/38°,85°/63°,65°/41°,206,206
Earlham College,Richmond,IN,35°/18°,62°/39°,84°/62°,65°/41°,130,177
Lycoming College,Williamsport,PA,35°/20°,62°/39°,85°/62°,63°/41°,135,180
West Chester University of Pennsylvania,West Chester,PA,38°/21°,62°/39°,85°/63°,65°/42°,119.5,201
Drew University,Madison,NJ,38°/19°,62°/39°,85°/63°,65°/41°,118,205
Seton Hall University,South Orange,NJ,39°/20°,62°/39°,86° /64°,66°/42°,119,205
University of Oregon,Eugene,OR,48°/34°,62°/40°,82°/52°,65°/42°,156,157
Messiah College,Mechanicsburg,PA,38°/22°,62°/40°,85°/64°,65°/43°,123,195
Dickinson College,Carlisle,PA,37°/21°,62°/40°,85°/63°,65°/42°,122,196
Drake University,Des Moines,IA,31°/13°,62°/40°,86°/65°,63°/41°,109,202
Princeton University,Princeton,NJ,39°/22°,62°/40°,86°/64°,65°/43°,125,204
Augustana College,Rock Island,IL,31°/15°,62°/41°,85°/65°,64°/43°,115,198
The College of New Jersey,Ewing,NJ,39°/22°,62°/41°,85°/65°,65°/44°,120,205
Butler University,Indianapolis,IN,35°/20°,62°/42°,84°/65°,65°/44°,122,186
Indiana University-Purdue University-Indianapolis,Indianapolis,IN,35°/20°,62°/42°,84°/65°,65°/44°,122,186
New Jersey Institute of Technology,Newark,NJ,39°23°,62°/42°,86°/67°,66°/46°,116,190
Rutgers University-Newark,Newark,NJ,39°/23°,62°/42°,86°/67°,66°/46°,206,206
Lewis & Clark College,Portland,OR,48°/36°,62°/43°,81°/56°,64°/46°,156,144
